"",Title,Year,Rated,Genre
1,The Shawshank Redemption,1994,R,"Crime, Drama"
2,The Godfather,1972,R,"Crime, Drama"
3,The Godfather: Part II,1974,R,"Crime, Drama"
4,The Dark Knight,2008,PG-13,"Action, Crime, Drama"
5,12 Angry Men,1957,APPROVED,"Crime, Drama"
6,Schindler's List,1993,R,"Biography, Drama, History"
7,The Lord of the Rings: The Return of th...,2003,PG-13,"Adventure, Drama, Fantasy"
8,Pulp Fiction,1994,R,"Crime, Drama"
9,Fight Club,1999,R,Drama
10,The Lord of the Rings: The Fellowship of...,2001,PG-13,"Adventure, Drama, Fantasy"
11,Forrest Gump,1994,PG-13,"Comedy, Drama, Romance"
12,Star Wars: Episode V - The Empire...,1980,PG,"Action, Adventure, Fantasy"
13,Inception,2010,PG-13,"Action, Adventure, Sci-Fi"
14,The Lord of the Rings: The Two Towers,2002,PG-13,"Adventure, Drama, Fantasy"
15,One Flew Over the Cuckoo's Nest,1975,R,Drama
16,Goodfellas,1990,R,"Crime, Drama"
17,The Matrix,1999,R,"Action, Sci-Fi"
18,Star Wars: Episode IV - A New Hope,1977,PG,"Action, Adventure, Fantasy"
19,Se7en,1995,R,"Crime, Drama, Mystery"
20,It's a Wonderful Life,1946,PG,"Drama, Family, Fantasy"
21,The Silence of the Lambs,1991,R,"Crime, Drama, Thriller"
22,The Usual Suspects,1995,R,"Crime, Drama, Mystery"
23,Léon: The Professional,1994,R,"Crime, Drama, Thriller"
24,Saving Private Ryan,1998,R,"Drama, War"
25,City Lights,1931,G,"Comedy, Drama, Romance"
26,Interstellar,2014,PG-13,"Adventure, Drama, Sci-Fi"
27,American History X,1998,R,"Crime, Drama"
28,Modern Times,1936,G,"Comedy, Drama, Family"
29,Casablanca,1942,PG,"Drama, Romance, War"
30,The Green Mile,1999,R,"Crime, Drama, Fantasy"
31,Psycho,1960,APPROVED,"Horror, Mystery, Thriller"
32,Raiders of the Lost Ark,1981,PG,"Action, Adventure"
33,The Pianist,2002,R,"Biography, Drama, Music"
34,Rear Window,1954,APPROVED,"Mystery, Thriller"
35,The Departed,2006,R,"Crime, Drama, Thriller"
36,Whiplash,2014,R,"Drama, Music"
37,Terminator 2: Judgment Day,1991,R,"Action, Sci-Fi, Thriller"
38,Back to the Future,1985,PG,"Adventure, Comedy, Sci-Fi"
39,Gladiator,2000,R,"Action, Adventure, Drama"
40,The Lion King,1994,G,"Animation, Adventure, Drama"
41,The Prestige,2006,PG-13,"Drama, Mystery, Sci-Fi"
42,Apocalypse Now,1979,R,"Drama, War"
43,Memento,2000,R,"Mystery, Thriller"
44,The Great Dictator,1940,APPROVED,"Comedy, Drama, War"
45,Sunset Boulevard,1950,PASSED,"Drama, Film-Noir"
46,Alien,1979,R,"Horror, Sci-Fi"
47,Dr. Strangelove or: How I Learned to Sto...,1964,PG,Comedy
48,Paths of Glory,1957,APPROVED,"Drama, War"
